127.0.0.1 - - [11/Jan/2024:08:22:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:22:27 +0900] "GET /board/boardwrite HTTP/1.1" 200 2443
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:22:27 +0900] "GET /board/resources/static/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:22:27 +0900] "GET /board/resources/static/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:22:33 +0900] "GET /board/boardwrite HTTP/1.1" 200 2437
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:35:22 +0900] "GET /board/boardwrite HTTP/1.1" 200 2603
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:39:36 +0900] "GET /board/main HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:39:37 +0900] "GET /board/boardlist HTTP/1.1" 200 2592
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:39:39 +0900] "GET /board/login HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:39:43 +0900] "POST /board/login HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:39:46 +0900] "GET /board/boardlist HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:39:48 +0900] "GET /board/boardwrite HTTP/1.1" 200 3091
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:39:59 +0900] "POST /board/boardwrite HTTP/1.1" 200 2264
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:39:59 +0900] "GET /board/resources/img/basic.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:39:59 +0900] "GET /board/resources/img/unlike.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:40:02 +0900] "GET /board/boardlist?page= HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:41:22 +0900] "GET /board/boarddetail/3/1 HTTP/1.1" 200 2266
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:41:25 +0900] "GET /board/boardlist HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:45:23 +0900] "GET /board/boardlist HTTP/1.1" 200 3267
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:46:23 +0900] "GET /board/boardlist HTTP/1.1" 200 3267
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:46:25 +0900] "GET /board/boardlist HTTP/1.1" 200 3267
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:46:28 +0900] "GET /board/main HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:46:28 +0900] "GET /board/boardlist HTTP/1.1" 200 3267
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:46:33 +0900] "GET /board/boardlist?page=1 HTTP/1.1" 200 3267
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:54:18 +0900] "GET /board/boardlist?page=1 HTTP/1.1" 200 3407
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:56:01 +0900] "GET /board/boardlist?page=1 HTTP/1.1" 200 3407
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:56:04 +0900] "GET /board/boardlist HTTP/1.1" 200 3407
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:56:05 +0900] "GET /board/boardlist HTTP/1.1" 200 3407
0:0:0:0:0:0:0:1 - - [11/Jan/2024:08:56:07 +0900] "GET /board/main HTTP/1.1" 200 1523
