127.0.0.1 - - [10/Jan/2024:11:36:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:36:48 +0900] "GET /board/ HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:36:48 +0900] "GET /board/resources/css/main.css HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:36:57 +0900] "GET /board/login.jsp HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:37:06 +0900] "GET /login.jsp HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:37:15 +0900] "GET /board/WEB-INF/views/login.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:37:47 +0900] "GET /board/main HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:37:49 +0900] "GET /board/login HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:37:49 +0900] "GET /board/css/bootstrap.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:37:49 +0900] "GET /board/js/bootstrap.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:38:04 +0900] "GET /board/css/bootstrap.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:41:15 +0900] "GET /board/login HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:41:15 +0900] "GET /board/css/bootstrap.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:41:15 +0900] "GET /board/js/bootstrap.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:44:24 +0900] "GET /board/login HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:44:24 +0900] "GET /board/css/bootstrap.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:44:24 +0900] "GET /board/js/bootstrap.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:44:24 +0900] "GET /board/login HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:44:24 +0900] "GET /board/css/bootstrap.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:44:24 +0900] "GET /board/js/bootstrap.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:45:04 +0900] "GET /board/login HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:45:04 +0900] "GET /board/css/bootstrap.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:45:04 +0900] "GET /board/js/bootstrap.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:47:48 +0900] "GET /board/login HTTP/1.1" 200 1041
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:47:48 +0900] "GET /board/js/bootstrap.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:47:48 +0900] "GET /board/css/bootstrap.css HTTP/1.1" 404 682
